Episode,Total Reward,Epsilon,Time (s)
1,-6.4,1.0,0.0
2,2.7,0.6,1.0
3,5.1,0.28,2.5
4,-7.5,0.246,2.7
5,-8.4,0.226,2.9
6,-9.0,0.214,3.0
7,-8.4,0.196,3.2
8,-8.6,0.182,3.3
9,-4.6,0.138,3.9
10,-8.8,0.129,4.0
11,-7.3,0.112,4.3
12,-8.1,0.102,4.5
13,-8.2,0.092,4.7
14,-8.2,0.084,4.9
15,-7.1,0.072,5.2
16,-7.4,0.063,5.4
17,-9.0,0.06,5.5
18,-7.8,0.053,5.8
19,-8.2,0.048,6.0
20,-9.0,0.046,6.1
21,-8.6,0.043,6.2
22,-8.0,0.038,6.4
23,-1.9,0.025,7.2
24,-6.0,0.021,7.6
25,-8.7,0.019,7.8
26,-9.1,0.018,7.9
27,-7.4,0.016,8.2
28,-8.2,0.015,8.4
29,-8.3,0.013,8.5
30,-9.0,0.013,8.7
31,1.0,0.012,8.8
32,-9.1,0.011,8.9
33,-8.3,0.01,9.1
34,-8.0,0.01,9.3
35,-1.2,0.01,10.2
36,-8.7,0.01,10.3
37,-3.5,0.01,11.0
38,-6.3,0.01,11.4
39,-8.2,0.01,11.6
40,-9.1,0.01,11.7
41,-7.9,0.01,11.9
42,-9.0,0.01,12.0
43,0.4,0.01,13.1
44,-2.6,0.01,13.8
45,5.5,0.01,15.4
46,-2.6,0.01,16.1
47,1.1,0.01,16.3
48,-8.2,0.01,16.5
49,-7.8,0.01,16.7
50,-8.9,0.01,16.9
51,-7.3,0.01,17.2
52,-9.1,0.01,17.3
53,-6.9,0.01,17.6
54,-6.4,0.01,18.0
55,1.1,0.01,18.1
56,-8.1,0.01,18.3
57,-4.6,0.01,18.8
58,-8.4,0.01,19.0
59,-9.1,0.01,19.1
60,-6.7,0.01,19.5
61,-8.2,0.01,19.6
62,-1.3,0.01,20.5
63,1.3,0.01,20.7
64,-8.3,0.01,20.8
65,-7.5,0.01,21.1
66,-8.6,0.01,21.2
67,-3.5,0.01,21.9
68,-8.4,0.01,22.1
69,-8.0,0.01,22.3
70,-7.8,0.01,22.5
71,-8.5,0.01,22.7
72,-8.3,0.01,22.9
73,-9.1,0.01,23.0
74,-8.7,0.01,23.1
75,-6.2,0.01,23.5
76,-9.1,0.01,23.6
77,-6.2,0.01,24.0
78,-8.5,0.01,24.1
79,-5.2,0.01,24.6
80,-4.7,0.01,25.2
81,-8.2,0.01,25.3
82,-8.2,0.01,25.5
83,-8.7,0.01,25.7
84,-6.0,0.01,26.1
85,-7.0,0.01,26.4
86,-3.3,0.01,27.1
87,-8.0,0.01,27.3
88,-1.4,0.01,28.2
89,-9.1,0.01,28.3
